city_name,pollution_type,pollution_value,creation_date
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-24 14H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-24 15H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-24 16H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-24 18H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-24 20H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-24 22H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 00H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 02H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 04H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 06H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 08H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 10H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 12H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 14H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 16H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 20H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-25 22H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 00H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 02H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 04H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 06H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 08H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 10H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 12H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 14H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 16H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 18H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 20H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-26 22H"
Guimaraes,"Carbon Monoxide",0.00000314666552384516,"2018-07-27 00H"
